direction,run,date,baseline_ticker,gps_ticker,baseline_value,gps_value
short,3,2017-03-01,SU,HE,940.5555439281856,1022.8661538499206
short,3,2017-04-01,CT,HE,891.9713623733932,1086.362455094812
short,3,2017-05-01,CT,ZS,999.3440054782986,1149.9519831237046
short,3,2017-06-01,CP,SV,967.142792173664,1207.726016355507
short,3,2017-07-01,ZC,HE,981.7548303859859,1261.8673375741914
short,3,2017-08-01,NG,NG,989.0664673938998,1271.2651175890426
short,3,2017-09-01,HO,HO,923.9429184254398,1187.560635770599
short,3,2017-10-01,NG,NG,697.4383427414406,896.4301854581031
short,3,2017-11-01,CP,ZC,708.4723623080682,937.7890411882224
short,3,2017-12-01,HO,HE,672.4897911700258,899.6367102892883
short,3,2018-01-01,CO,HO,664.3949743824128,943.8459736320744
short,3,2018-02-01,NG,ZC,757.081614811704,878.1673313437137
short,3,2018-03-01,SU,CC,808.5444232677684,775.7316503370688
short,3,2018-04-01,CF,CF,830.0613234264434,796.3753403927966
short,3,2018-05-01,CT,ZW,783.1786859534103,760.1612672521508
short,3,2018-06-01,CP,ZC,781.7734499264856,819.8886404913882
short,3,2018-07-01,ZC,HE,743.930773723142,933.9811898707036
short,3,2018-08-01,CC,SV,786.769441829107,1016.4950841386404
short,3,2018-09-01,CF,ZC,666.8666793904933,1093.6069744361782
short,3,2018-10-01,HO,CO,704.9725246937202,1232.4756059786953
short,3,2018-11-01,CP,SV,661.7718308854243,1223.5628955246932
short,3,2018-12-01,HO,NG,660.5711350977904,1918.18274291339
short,3,2019-01-01,CP,HO,644.3174598603812,1568.2258150182577
short,3,2019-02-01,NG,SU,768.7800058074006,1559.2784918906736
short,3,2019-03-01,SU,ZC,722.0504148672632,1561.3930009185115
short,3,2019-04-01,SU,GD,783.1782607975634,1592.8961278324787
short,3,2019-05-01,CT,ZS,870.542697670846,1594.7369687508578
short,3,2019-06-01,ZW,CO,784.6224209046529,1494.6552972611125
short,3,2019-07-01,ZC,CF,795.5824097418525,1708.1582592982033
short,3,2019-08-01,CC,ZS,842.6985427438597,1631.71695707983
short,3,2019-09-01,ZW,SV,822.5578694258407,1720.8908869505547
short,3,2019-10-01,ZS,HE,804.1046264396622,2138.609414218933
