Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2016-01-01,[CP | 100.0%],,,,,[ZS | 100.0%],,,,
2022-02-01,[LE | 12.2%],[NG | 9.6%],[SV | 8.4%],[CT | 7.8%],[GD | 7.1%],[SV | 8.1%],[LE | 8.0%],[GD | 7.7%],[CO | 7.6%],[CT | 7.5%]
2022-03-01,[ZW | 10.5%],[LE | 10.2%],[SU | 7.9%],[CP | 7.6%],[ZC | 7.5%],[LE | 8.7%],[ZW | 8.4%],[CP | 8.1%],[ZC | 8.1%],[CF | 6.9%]
2022-04-01,[NG | 11.3%],[SU | 10.1%],[CO | 8.3%],[CT | 7.4%],[SV | 6.9%],[NG | 9.3%],[SU | 8.4%],[ZW | 7.8%],[GD | 7.6%],[HE | 7.2%]
2022-05-01,[SU | 9.6%],[HE | 8.7%],[CO | 8.3%],[CF | 7.8%],[CP | 7.8%],[SU | 9.0%],[CP | 8.5%],[HE | 8.4%],[CC | 8.3%],[CO | 8.2%]
2022-06-01,[CP | 10.4%],[CO | 8.5%],[GD | 8.1%],[SV | 7.4%],[HO | 7.2%],[CP | 8.1%],[CO | 8.0%],[HO | 7.9%],[SV | 7.6%],[GD | 7.5%]
2022-07-01,[LE | 9.7%],[CP | 8.8%],[HO | 8.0%],[SU | 7.4%],[ZC | 7.3%],[CP | 8.5%],[HO | 8.2%],[LE | 8.1%],[ZC | 7.7%],[ZS | 7.5%]
2022-08-01,[CP | 9.6%],[CT | 9.5%],[CF | 8.2%],[NG | 8.1%],[LE | 7.3%],[CF | 8.7%],[CT | 8.7%],[NG | 8.5%],[CC | 8.1%],[GD | 7.5%]
2022-09-01,[LE | 9.7%],[ZS | 9.2%],[SV | 8.3%],[SU | 7.7%],[CT | 7.0%],[LE | 9.1%],[SU | 8.9%],[CC | 7.9%],[SV | 7.8%],[ZS | 7.3%]
2022-10-01,[NG | 9.7%],[LE | 8.9%],[HE | 8.9%],[CP | 8.5%],[ZS | 8.3%],[LE | 9.1%],[NG | 7.9%],[ZS | 7.8%],[ZW | 7.2%],[HE | 7.2%]
2022-11-01,[ZS | 9.1%],[CP | 8.6%],[CO | 7.7%],[LE | 7.6%],[GD | 7.5%],[SU | 9.1%],[GD | 7.8%],[HO | 7.3%],[ZS | 7.1%],[CT | 7.0%]
2022-12-01,[CT | 11.1%],[CP | 10.1%],[CO | 10.1%],[NG | 8.2%],[HO | 7.7%],[CT | 9.0%],[CO | 8.7%],[CP | 8.0%],[CC | 7.4%],[HO | 7.3%]
2023-01-01,[CT | 10.8%],[SV | 8.5%],[HO | 8.5%],[CO | 8.4%],[CP | 7.7%],[CT | 9.4%],[SV | 8.1%],[HO | 8.0%],[CO | 7.6%],[GD | 7.5%]
2023-02-01,[CP | 10.5%],[HO | 7.7%],[SU | 7.5%],[CO | 7.5%],[CF | 7.2%],[CP | 9.1%],[SU | 9.0%],[CF | 7.8%],[CT | 7.6%],[CO | 7.3%]
2023-03-01,[GD | 10.0%],[HE | 9.2%],[SV | 8.4%],[CF | 8.0%],[LE | 7.1%],[GD | 9.2%],[HE | 8.8%],[CP | 8.0%],[HO | 7.9%],[SV | 7.2%]
2023-04-01,[NG | 11.7%],[CP | 8.6%],[CT | 7.9%],[LE | 7.7%],[CF | 7.6%],[NG | 9.1%],[CC | 8.4%],[LE | 7.5%],[CP | 7.5%],[SV | 7.1%]
2023-05-01,[GD | 9.6%],[NG | 8.5%],[CT | 8.4%],[LE | 7.8%],[CP | 7.6%],[GD | 8.5%],[LE | 8.5%],[HE | 7.6%],[NG | 7.1%],[ZS | 7.0%]
2023-06-01,[ZS | 9.6%],[CF | 8.6%],[GD | 8.1%],[ZC | 7.5%],[CC | 7.4%],[ZC | 9.2%],[SU | 7.7%],[HO | 7.3%],[ZS | 7.3%],[CO | 7.2%]
2023-07-01,[NG | 10.0%],[CP | 8.4%],[CC | 8.4%],[CT | 7.7%],[GD | 7.4%],[GD | 8.3%],[CC | 8.2%],[NG | 7.8%],[ZS | 7.3%],[HE | 7.0%]
2023-08-01,[CT | 10.7%],[GD | 7.7%],[SV | 7.6%],[ZC | 7.5%],[HO | 7.1%],[CT | 7.8%],[ZW | 7.5%],[GD | 7.1%],[NG | 6.9%],[CC | 6.8%]
2023-09-01,[CT | 10.2%],[NG | 9.4%],[HE | 8.1%],[ZC | 7.6%],[GD | 7.6%],[CT | 8.0%],[NG | 7.9%],[ZC | 7.2%],[CO | 7.1%],[ZS | 7.0%]
2023-10-01,[HE | 9.7%],[HO | 8.1%],[CT | 7.7%],[GD | 7.6%],[NG | 7.3%],[ZS | 8.6%],[ZW | 8.4%],[ZC | 8.3%],[CT | 6.8%],[HE | 6.8%]
2023-11-01,[NG | 14.2%],[CT | 9.0%],[HO | 8.0%],[CP | 7.6%],[ZS | 6.7%],[NG | 10.2%],[CP | 8.5%],[ZC | 7.9%],[HO | 7.2%],[CC | 7.0%]
2023-12-01,[CF | 10.9%],[CT | 7.9%],[ZW | 7.5%],[GD | 7.5%],[ZC | 7.1%],[CT | 9.1%],[CF | 8.3%],[GD | 7.6%],[CP | 7.4%],[SV | 7.4%]
2024-01-01,[CT | 9.0%],[SU | 8.1%],[GD | 8.1%],[HO | 7.5%],[SV | 7.1%],[CF | 7.9%],[SU | 7.8%],[GD | 7.8%],[ZW | 7.7%],[SV | 7.1%]
2024-02-01,[CT | 9.9%],[NG | 8.6%],[SV | 8.4%],[HE | 7.4%],[ZC | 7.4%],[CT | 8.9%],[CP | 8.1%],[ZW | 7.5%],[ZC | 7.3%],[CF | 7.0%]
2024-03-01,[NG | 11.1%],[ZW | 8.7%],[CC | 7.7%],[CT | 7.7%],[GD | 7.2%],[ZS | 8.7%],[GD | 8.1%],[ZW | 8.0%],[NG | 8.0%],[CT | 7.6%]
2024-04-01,[GD | 9.8%],[LE | 9.5%],[ZC | 8.5%],[HE | 7.8%],[ZS | 7.7%],[ZS | 8.2%],[HE | 8.2%],[GD | 8.0%],[HO | 7.7%],[ZC | 7.6%]
2024-05-01,[NG | 11.4%],[CT | 8.9%],[HO | 8.3%],[GD | 7.9%],[CF | 7.2%],[NG | 9.6%],[CF | 7.8%],[CP | 7.5%],[CT | 7.4%],[SV | 7.2%]
2024-06-01,[NG | 8.5%],[CT | 7.8%],[LE | 7.7%],[HO | 7.6%],[ZC | 7.4%],[NG | 9.3%],[SU | 7.7%],[HO | 7.3%],[HE | 7.2%],[CT | 7.2%]
2024-07-01,[CT | 9.0%],[HO | 8.6%],[SV | 7.6%],[ZW | 7.6%],[CP | 7.6%],[CO | 8.3%],[SV | 7.6%],[CT | 7.3%],[HO | 7.3%],[ZS | 7.2%]
2024-08-01,[ZC | 8.4%],[CF | 8.3%],[ZS | 8.2%],[HE | 8.1%],[CP | 7.5%],[HO | 8.8%],[CF | 8.1%],[HE | 8.0%],[SV | 8.0%],[CP | 7.6%]
2024-09-01,[NG | 9.1%],[HO | 8.0%],[GD | 7.4%],[ZS | 7.3%],[CT | 7.2%],[NG | 8.8%],[HO | 7.7%],[CO | 7.4%],[HE | 7.1%],[SU | 6.8%]
2024-10-01,[NG | 13.0%],[SU | 8.6%],[CT | 7.9%],[ZC | 7.8%],[LE | 7.4%],[NG | 10.8%],[SU | 9.0%],[ZS | 7.5%],[CP | 7.4%],[HO | 7.3%]
2024-11-01,[CF | 9.6%],[ZS | 8.5%],[SV | 7.8%],[ZW | 7.7%],[LE | 7.7%],[CF | 8.7%],[ZW | 8.6%],[CT | 7.8%],[CP | 7.6%],[ZS | 7.5%]
2024-12-01,[NG | 10.6%],[ZW | 10.0%],[ZC | 8.9%],[GD | 8.4%],[ZS | 8.0%],[ZW | 9.1%],[NG | 8.6%],[GD | 8.0%],[SV | 7.8%],[ZC | 7.2%]
