Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2024-01-01,[NG | 22.3%],[CF | 10.5%],[ZW | 9.7%],[HO | 8.2%],[SU | 6.8%],[ZC | 8.4%],[CF | 8.0%],[ZW | 7.7%],[CP | 7.6%],[NG | 7.5%]
2024-02-01,[SU | 19.5%],[HO | 16.6%],[GD | 8.4%],[NG | 8.2%],[CO | 7.1%],[LE | 8.7%],[HO | 8.5%],[CF | 8.3%],[SU | 8.0%],[GD | 7.9%]
2024-03-01,[HO | 20.1%],[SU | 13.2%],[HE | 7.8%],[SV | 6.8%],[LE | 6.7%],[CO | 10.3%],[LE | 8.9%],[HO | 8.7%],[ZC | 8.4%],[CT | 7.5%]
2024-04-01,[CC | 28.7%],[NG | 13.4%],[ZW | 8.4%],[HO | 8.2%],[CF | 7.8%],[CF | 9.7%],[CC | 8.8%],[ZW | 8.4%],[NG | 8.3%],[LE | 7.7%]
2024-05-01,[CC | 45.4%],[SU | 10.4%],[NG | 7.3%],[ZW | 6.2%],[CT | 6.0%],[CC | 12.5%],[SU | 7.7%],[CP | 7.5%],[CT | 7.4%],[ZC | 7.3%]
2024-06-01,[CC | 35.6%],[SU | 9.8%],[CT | 8.9%],[NG | 7.5%],[HE | 5.7%],[CT | 8.4%],[SU | 8.4%],[CP | 8.0%],[ZS | 7.4%],[LE | 7.3%]
2024-07-01,[CC | 38.0%],[SU | 15.1%],[CF | 7.3%],[NG | 7.1%],[ZS | 5.3%],[CC | 9.3%],[CF | 9.2%],[ZS | 7.5%],[SU | 7.5%],[CP | 7.4%]
2024-08-01,[CC | 23.3%],[NG | 15.1%],[ZW | 9.1%],[SU | 8.8%],[CT | 7.7%],[HE | 8.6%],[CO | 8.5%],[ZW | 8.4%],[CF | 7.1%],[CC | 7.1%]
2024-09-01,[CC | 42.2%],[CT | 9.4%],[SU | 9.0%],[ZW | 8.6%],[NG | 4.7%],[CC | 10.5%],[SV | 8.9%],[CT | 8.4%],[GD | 7.9%],[HO | 6.8%]
2024-10-01,[CC | 35.3%],[ZW | 7.0%],[CT | 6.9%],[SV | 6.7%],[SU | 6.2%],[CF | 8.3%],[CC | 8.0%],[CO | 7.8%],[ZW | 7.6%],[CP | 7.5%]
2024-11-01,[CC | 37.9%],[SU | 13.9%],[SV | 6.0%],[NG | 5.8%],[GD | 5.7%],[CC | 9.0%],[CP | 8.1%],[LE | 7.8%],[GD | 7.1%],[HO | 7.0%]
2024-12-01,[CC | 32.5%],[NG | 14.8%],[CT | 12.7%],[SU | 10.1%],[CF | 5.1%],[CC | 10.4%],[CF | 8.8%],[HE | 8.0%],[CT | 7.5%],[NG | 7.4%]
