ticker,year,month,return,contract,start_date,start_value,end_date,end_value
SU,2023,4,0.2076062639821028,SU_2023-05,2023-04-03,22.35,2023-04-28,26.99
SU,2023,5,-0.050397877984084904,SU_2023-07,2023-05-01,26.39,2023-05-31,25.06
SU,2023,6,-0.08804780876494023,SU_2023-07,2023-06-01,25.1,2023-06-30,22.89
SU,2023,8,0.039402737453338776,SU_2023-10,2023-08-01,24.11,2023-08-31,25.06
SU,2023,9,0.04619673436877747,SU_2023-10,2023-09-01,25.11,2023-09-29,26.27
SU,2024,1,0.17135922330097064,SU_2024-03,2024-01-02,20.6,2024-01-31,24.13
SU,2024,2,-0.06423539162867797,SU_2024-03,2024-02-01,24.13,2024-02-29,22.58
SU,2024,3,0.03160787906550633,SU_2024-05,2024-03-01,21.83,2024-03-28,22.52
SU,2024,4,-0.12980132450331117,SU_2024-05,2024-04-01,22.65,2024-04-30,19.71
SU,2024,5,-0.06057494866529778,SU_2024-07,2024-05-01,19.48,2024-05-31,18.3
SU,2024,6,0.10983606557377046,SU_2024-07,2024-06-03,18.3,2024-06-28,20.31
SU,2024,8,0.020000000000000018,SU_2024-10,2024-08-01,19.0,2024-08-30,19.38
SU,2024,9,0.18566945606694563,SU_2024-10,2024-09-03,19.12,2024-09-30,22.67
SU,2025,1,0.0020714655618851996,SU_2025-03,2025-01-02,19.31,2025-01-31,19.35
SU,2025,2,0.005670103092783707,SU_2025-03,2025-02-03,19.4,2025-02-28,19.51
SU,2025,3,0.018358531317494542,SU_2025-05,2025-03-03,18.52,2025-03-31,18.86
SU,2025,4,-0.07570142932768664,SU_2025-05,2025-04-01,18.89,2025-04-30,17.46
