Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2022-08-01,[NG | 38.8%],[SV | 18.6%],[HO | 12.0%],[CO | 10.5%],[GD | 8.5%],[GD | 13.7%],[SV | 11.4%],[HO | 11.1%],[CC | 10.4%],[NG | 9.8%]
2022-09-01,[HE | 25.6%],[SU | 21.0%],[NG | 12.7%],[ZW | 12.1%],[CO | 10.1%],[SU | 11.6%],[HE | 11.2%],[ZW | 9.8%],[NG | 8.1%],[CP | 7.8%]
2022-10-01,[ZC | 21.8%],[SU | 19.0%],[LE | 17.4%],[ZW | 16.1%],[ZS | 6.5%],[LE | 14.3%],[ZC | 12.7%],[SU | 10.9%],[ZW | 8.7%],[ZS | 8.2%]
2022-11-01,[CF | 25.2%],[CP | 13.4%],[CC | 11.3%],[CT | 9.4%],[HE | 8.5%],[CF | 11.3%],[CC | 10.8%],[ZS | 10.6%],[CP | 9.2%],[LE | 8.9%]
2022-12-01,[SV | 19.2%],[CT | 16.7%],[ZC | 10.2%],[GD | 10.0%],[CP | 9.3%],[ZC | 11.3%],[GD | 10.1%],[CT | 10.0%],[LE | 9.9%],[SV | 8.7%]
2023-01-01,[SV | 22.7%],[ZC | 21.4%],[GD | 19.0%],[CT | 12.7%],[NG | 10.2%],[GD | 18.6%],[ZC | 13.9%],[SV | 13.1%],[CT | 11.9%],[ZS | 8.4%]
2023-02-01,[HO | 18.2%],[ZS | 17.4%],[CP | 15.7%],[CO | 13.2%],[SU | 7.4%],[ZS | 12.9%],[CP | 12.8%],[HO | 9.9%],[SU | 8.0%],[CC | 7.8%]
2023-03-01,[NG | 59.2%],[ZW | 15.6%],[HE | 10.0%],[ZC | 4.3%],[CT | 3.0%],[NG | 13.7%],[ZW | 13.5%],[HE | 11.4%],[ZC | 10.4%],[CT | 10.0%]
2023-04-01,[NG | 57.7%],[CT | 15.7%],[CO | 7.2%],[HO | 5.8%],[ZC | 3.6%],[NG | 15.2%],[CT | 13.0%],[ZC | 10.1%],[ZS | 9.0%],[HO | 8.1%]
2023-05-01,[CO | 54.9%],[HO | 14.5%],[HE | 9.6%],[SV | 4.0%],[ZC | 2.7%],[HE | 11.2%],[CO | 10.2%],[HO | 10.2%],[ZC | 9.3%],[LE | 8.1%]
2023-06-01,[CO | 47.0%],[HO | 17.7%],[SU | 8.4%],[NG | 6.8%],[LE | 6.3%],[CO | 13.7%],[LE | 12.4%],[SU | 11.6%],[HO | 10.0%],[CF | 7.4%]
2023-07-01,[NG | 30.8%],[SV | 29.2%],[CF | 23.2%],[CT | 3.2%],[CO | 2.7%],[LE | 12.7%],[SV | 11.8%],[GD | 10.0%],[CF | 9.9%],[CT | 9.1%]
2023-08-01,[NG | 83.1%],[HO | 5.2%],[CO | 3.4%],[GD | 1.8%],[HE | 1.8%],[NG | 13.9%],[GD | 11.9%],[HO | 9.8%],[SV | 9.7%],[CO | 8.7%]
2023-09-01,[ZW | 27.6%],[HE | 21.7%],[SU | 17.7%],[CO | 11.7%],[CC | 5.8%],[LE | 10.4%],[ZW | 10.3%],[SU | 10.2%],[CC | 9.3%],[HE | 9.1%]
2023-10-01,[ZC | 20.2%],[LE | 18.8%],[SU | 18.0%],[ZW | 14.6%],[ZS | 9.0%],[LE | 15.4%],[ZC | 11.5%],[ZS | 11.4%],[SU | 11.0%],[ZW | 9.6%]
2023-11-01,[CF | 17.2%],[NG | 17.2%],[CP | 15.8%],[CT | 15.5%],[ZS | 10.8%],[ZS | 11.6%],[CP | 11.4%],[CF | 10.9%],[LE | 10.1%],[CC | 9.9%]
2023-12-01,[SV | 29.9%],[ZC | 12.4%],[HE | 11.2%],[CT | 10.8%],[GD | 8.4%],[GD | 13.4%],[ZC | 11.5%],[LE | 10.3%],[SV | 9.7%],[CP | 8.7%]
2024-01-01,[GD | 28.0%],[ZC | 19.9%],[SV | 15.6%],[CT | 11.5%],[CO | 8.2%],[GD | 16.6%],[SV | 12.4%],[ZC | 11.3%],[CT | 10.5%],[ZS | 10.1%]
2024-02-01,[CP | 16.8%],[HO | 16.0%],[CO | 15.2%],[CC | 11.3%],[ZS | 11.1%],[CP | 12.6%],[ZS | 10.5%],[CC | 8.9%],[SU | 8.6%],[HE | 7.9%]
2024-03-01,[NG | 30.3%],[ZW | 29.5%],[ZC | 11.4%],[HE | 10.3%],[CT | 4.1%],[ZW | 12.7%],[NG | 11.4%],[ZC | 10.7%],[HE | 9.0%],[GD | 8.0%]
2024-04-01,[NG | 56.1%],[CT | 15.4%],[CO | 7.7%],[SU | 6.1%],[HO | 5.3%],[CT | 13.2%],[NG | 13.0%],[GD | 11.8%],[SU | 7.6%],[CP | 7.3%]
2024-05-01,[CO | 49.2%],[HO | 14.7%],[SU | 5.8%],[NG | 5.6%],[HE | 5.4%],[LE | 11.2%],[HO | 9.8%],[ZC | 9.1%],[CO | 8.6%],[HE | 8.5%]
2024-06-01,[CO | 36.8%],[NG | 22.2%],[HO | 14.8%],[LE | 7.4%],[ZW | 4.5%],[LE | 11.9%],[CO | 11.4%],[HO | 9.7%],[ZS | 9.6%],[SU | 7.4%]
2024-07-01,[NG | 33.8%],[SV | 31.0%],[CF | 20.3%],[CT | 3.5%],[CO | 2.9%],[SV | 12.5%],[LE | 11.6%],[CF | 10.3%],[NG | 9.2%],[GD | 8.7%]
2024-08-01,[NG | 85.5%],[HO | 5.9%],[CO | 3.5%],[SU | 1.4%],[HE | 1.0%],[NG | 13.6%],[HO | 11.4%],[GD | 9.1%],[HE | 9.0%],[CC | 8.7%]
2024-09-01,[CO | 21.0%],[HE | 16.0%],[SU | 15.6%],[ZW | 14.3%],[HO | 9.1%],[SU | 11.3%],[HE | 10.4%],[LE | 9.9%],[ZW | 8.8%],[CO | 8.7%]
2024-10-01,[ZC | 24.1%],[ZW | 16.7%],[SU | 15.8%],[LE | 13.4%],[ZS | 10.7%],[LE | 13.0%],[ZS | 12.1%],[ZC | 11.8%],[ZW | 9.8%],[SU | 9.2%]
2024-11-01,[CF | 31.1%],[CP | 22.7%],[CT | 11.7%],[ZS | 9.4%],[CC | 6.8%],[CP | 11.5%],[ZS | 11.0%],[CF | 10.0%],[CT | 9.3%],[CC | 8.9%]
2024-12-01,[SV | 21.1%],[ZW | 16.1%],[GD | 15.0%],[ZC | 11.9%],[HE | 11.1%],[GD | 12.6%],[SV | 11.1%],[ZW | 9.3%],[ZC | 9.1%],[ZS | 9.0%]
